id,Ram,Dhananjay,Guru,Ashutosh
JanakaBalasooriya--SethuramanPanchanathan,N,N,N,Y
JanakaBalasooriya--PaoloPapotti,N,N,N,N
JanakaBalasooriya--GiuliaPedrielli,N,N,N,N
JanakaBalasooriya--FengboRen,N,Y,N,N
JanakaBalasooriya--AndreaWRicha,N,Y,Y,N
JanakaBalasooriya--GeorgeRunger,N,N,N,N
JanakaBalasooriya--HessamSarjoughian,N,Y,N,N
JanakaBalasooriya--MohamedSarwat,N,Y,N,N
JanakaBalasooriya--ArunabhaSen,N,N,N,N
JanakaBalasooriya--PauloShakarian,N,Y,N,N
JanakaBalasooriya--AviralShrivastava,N,Y,N,Y
JanakaBalasooriya--DanShunk,N,N,N,N
JanakaBalasooriya--VioletSyrotiuk,N,Y,N,N
JanakaBalasooriya--HanghangTong,N,N,N,N
JanakaBalasooriya--KurtVanLehn,N,N,N,N
JanakaBalasooriya--JReneVillalobos,N,N,N,N
JanakaBalasooriya--SarmaVrudhula,N,N,N,N
JanakaBalasooriya--ErinWalker,N,N,N,N
JanakaBalasooriya--CaroleJeanWu,N,N,N,N
JanakaBalasooriya--TeresaWu,N,Y,N,N
JanakaBalasooriya--GuoliangXue,N,N,N,N
JanakaBalasooriya--YezhouYang,N,N,Y,N
JanakaBalasooriya--StephenSYau,Y,N,N,N
AjayBansal--SrividyaBansal,Y,Y,Y,N
AjayBansal--ChittaBaral,Y,Y,Y,Y
AjayBansal--RidaBazzi,N,N,N,N
AjayBansal--HeniBenAmor,N,Y,Y,N
AjayBansal--NadyaBliss,N,Y,N,N
AjayBansal--KSelcukCandan,N,N,N,N
AjayBansal--YinongChen,Y,N,N,N
AjayBansal--CharlesColbourn,N,N,N,N
AjayBansal--JamesCollofello,N,Y,N,N
AjayBansal--ParthaDasgupta,N,Y,N,N
AjayBansal--HasanDavulcu,N,N,Y,N
AjayBansal--AdamDoupe,N,Y,N,N
AjayBansal--GeorgiosFainekos,N,Y,N,N
AjayBansal--AshrafGaffar,N,N,N,N
AjayBansal--KevinGary,N,N,N,N
AjayBansal--EsmaGel,N,N,N,N
AjayBansal--JavierGonzalezSanchez,N,Y,N,N
AjayBansal--SandeepGupta,N,N,N,N
AjayBansal--DianneHansford,N,N,N,N
AjayBansal--JingruiHe,N,N,Y,Y
AjayBansal--DijiangHuang,N,Y,N,N
AjayBansal--SubbaraoKambhampati,Y,N,Y,N
AjayBansal--JoohyungLee,Y,N,Y,Y
AjayBansal--YannHangLee,Y,Y,Y,N
AjayBansal--BaoxinLi,N,N,N,N
AjayBansal--TimLindquist,N,N,N,N
AjayBansal--RossMaciejewski,N,N,N,N
AjayBansal--RyanMeuth,N,Y,N,N
AjayBansal--PituMirchandani,N,Y,N,N
AjayBansal--BrianNelson,N,Y,N,N
AjayBansal--RongPan,N,N,N,N
AjayBansal--SethuramanPanchanathan,N,N,N,N
AjayBansal--PaoloPapotti,N,Y,N,N
AjayBansal--GiuliaPedrielli,N,N,N,N
AjayBansal--FengboRen,N,N,Y,N
AjayBansal--AndreaWRicha,N,N,N,N
AjayBansal--GeorgeRunger,N,N,N,N
AjayBansal--HessamSarjoughian,N,Y,N,N
AjayBansal--MohamedSarwat,N,N,N,N
AjayBansal--ArunabhaSen,N,Y,N,N
AjayBansal--PauloShakarian,N,N,N,N
AjayBansal--AviralShrivastava,N,Y,N,N
AjayBansal--DanShunk,N,Y,N,N
AjayBansal--VioletSyrotiuk,N,N,N,N
AjayBansal--HanghangTong,Y,N,Y,Y
AjayBansal--KurtVanLehn,N,N,N,N
AjayBansal--JReneVillalobos,N,N,N,N
AjayBansal--SarmaVrudhula,N,N,N,N
AjayBansal--ErinWalker,N,N,N,N
AjayBansal--CaroleJeanWu,N,Y,N,N
AjayBansal--TeresaWu,N,Y,N,N
AjayBansal--GuoliangXue,N,Y,N,N
AjayBansal--YezhouYang,N,N,N,N
AjayBansal--StephenSYau,N,N,N,N
SrividyaBansal--ChittaBaral,N,N,N,N
SrividyaBansal--RidaBazzi,N,N,N,N
SrividyaBansal--HeniBenAmor,N,N,N,N
SrividyaBansal--NadyaBliss,N,Y,N,N
