id,value
TimLindquist--PituMirchandani,N
TimLindquist--BrianNelson,Y
TimLindquist--RongPan,N
TimLindquist--SethuramanPanchanathan,N
TimLindquist--PaoloPapotti,N
TimLindquist--GiuliaPedrielli,N
TimLindquist--FengboRen,N
TimLindquist--AndreaWRicha,N
TimLindquist--GeorgeRunger,N
TimLindquist--HessamSarjoughian,Y
TimLindquist--MohamedSarwat,Y
TimLindquist--ArunabhaSen,N
TimLindquist--PauloShakarian,Y
TimLindquist--AviralShrivastava,Y
TimLindquist--DanShunk,Y
TimLindquist--VioletSyrotiuk,N
TimLindquist--HanghangTong,N
TimLindquist--KurtVanLehn,Y
TimLindquist--JReneVillalobos,Y
TimLindquist--SarmaVrudhula,N
TimLindquist--ErinWalker,Y
TimLindquist--CaroleJeanWu,N
TimLindquist--TeresaWu,Y
TimLindquist--GuoliangXue,N
TimLindquist--YezhouYang,Y
TimLindquist--NongYe,Y
TimLindquist--StephenSYau,N
RossMaciejewski--RyanMeuth,Y
RossMaciejewski--PituMirchandani,N
RossMaciejewski--BrianNelson,N
RossMaciejewski--RongPan,N
RossMaciejewski--SethuramanPanchanathan,N
RossMaciejewski--PaoloPapotti,N
RossMaciejewski--GiuliaPedrielli,Y
RossMaciejewski--FengboRen,N
RossMaciejewski--AndreaWRicha,Y
RossMaciejewski--GeorgeRunger,Y
RossMaciejewski--HessamSarjoughian,Y
RossMaciejewski--MohamedSarwat,Y
RossMaciejewski--ArunabhaSen,N
RossMaciejewski--PauloShakarian,Y
RossMaciejewski--AviralShrivastava,N
RossMaciejewski--DanShunk,Y
RossMaciejewski--VioletSyrotiuk,N
RossMaciejewski--HanghangTong,N
RossMaciejewski--KurtVanLehn,Y
RossMaciejewski--JReneVillalobos,N
RossMaciejewski--SarmaVrudhula,N
RossMaciejewski--ErinWalker,N
RossMaciejewski--CaroleJeanWu,N
RossMaciejewski--TeresaWu,Y
RossMaciejewski--GuoliangXue,N
RossMaciejewski--YezhouYang,N
RossMaciejewski--NongYe,N
RossMaciejewski--StephenSYau,N
RyanMeuth--PituMirchandani,Y
RyanMeuth--BrianNelson,Y
RyanMeuth--RongPan,N
RyanMeuth--SethuramanPanchanathan,Y
RyanMeuth--PaoloPapotti,Y
RyanMeuth--GiuliaPedrielli,N
RyanMeuth--FengboRen,N
RyanMeuth--AndreaWRicha,Y
RyanMeuth--GeorgeRunger,N
RyanMeuth--HessamSarjoughian,N
RyanMeuth--MohamedSarwat,Y
RyanMeuth--ArunabhaSen,Y
RyanMeuth--PauloShakarian,Y
RyanMeuth--AviralShrivastava,Y
RyanMeuth--DanShunk,Y
RyanMeuth--VioletSyrotiuk,N
RyanMeuth--HanghangTong,N
RyanMeuth--KurtVanLehn,Y
RyanMeuth--JReneVillalobos,Y
RyanMeuth--SarmaVrudhula,Y
RyanMeuth--ErinWalker,N
RyanMeuth--CaroleJeanWu,Y
RyanMeuth--TeresaWu,Y
RyanMeuth--GuoliangXue,N
RyanMeuth--YezhouYang,N
RyanMeuth--NongYe,N
RyanMeuth--StephenSYau,N
PituMirchandani--BrianNelson,Y
PituMirchandani--RongPan,Y
PituMirchandani--SethuramanPanchanathan,Y
PituMirchandani--PaoloPapotti,N
PituMirchandani--GiuliaPedrielli,Y
PituMirchandani--FengboRen,N
PituMirchandani--AndreaWRicha,N
PituMirchandani--GeorgeRunger,N
PituMirchandani--HessamSarjoughian,N
PituMirchandani--MohamedSarwat,Y
PituMirchandani--ArunabhaSen,N
PituMirchandani--PauloShakarian,Y
PituMirchandani--AviralShrivastava,N
PituMirchandani--DanShunk,Y
PituMirchandani--VioletSyrotiuk,Y
PituMirchandani--HanghangTong,Y
PituMirchandani--KurtVanLehn,N
PituMirchandani--JReneVillalobos,Y
PituMirchandani--SarmaVrudhula,N
PituMirchandani--ErinWalker,N
PituMirchandani--CaroleJeanWu,Y
PituMirchandani--TeresaWu,N
PituMirchandani--GuoliangXue,Y
PituMirchandani--YezhouYang,N
PituMirchandani--NongYe,N
PituMirchandani--StephenSYau,N
BrianNelson--RongPan,Y
BrianNelson--SethuramanPanchanathan,Y
BrianNelson--PaoloPapotti,N
BrianNelson--GiuliaPedrielli,Y
BrianNelson--FengboRen,N
BrianNelson--AndreaWRicha,N
BrianNelson--GeorgeRunger,Y
BrianNelson--HessamSarjoughian,Y
BrianNelson--MohamedSarwat,N
BrianNelson--ArunabhaSen,N
BrianNelson--PauloShakarian,N
BrianNelson--AviralShrivastava,Y
BrianNelson--DanShunk,Y
BrianNelson--VioletSyrotiuk,N
BrianNelson--HanghangTong,Y
BrianNelson--KurtVanLehn,N
BrianNelson--JReneVillalobos,N
BrianNelson--SarmaVrudhula,N
BrianNelson--ErinWalker,Y
BrianNelson--CaroleJeanWu,Y
BrianNelson--TeresaWu,Y
BrianNelson--GuoliangXue,N
BrianNelson--YezhouYang,N
BrianNelson--NongYe,N
BrianNelson--StephenSYau,N
RongPan--SethuramanPanchanathan,N
RongPan--PaoloPapotti,Y
RongPan--GiuliaPedrielli,N
RongPan--FengboRen,Y
RongPan--AndreaWRicha,N
RongPan--GeorgeRunger,Y
RongPan--HessamSarjoughian,N
RongPan--MohamedSarwat,N
RongPan--ArunabhaSen,Y
RongPan--PauloShakarian,N
RongPan--AviralShrivastava,Y
RongPan--DanShunk,N
RongPan--VioletSyrotiuk,N
RongPan--HanghangTong,Y
RongPan--KurtVanLehn,Y
RongPan--JReneVillalobos,Y
RongPan--SarmaVrudhula,N
RongPan--ErinWalker,N
RongPan--CaroleJeanWu,N
RongPan--TeresaWu,Y
RongPan--GuoliangXue,N
RongPan--YezhouYang,Y
RongPan--NongYe,N
RongPan--StephenSYau,N
SethuramanPanchanathan--PaoloPapotti,N
SethuramanPanchanathan--GiuliaPedrielli,N
SethuramanPanchanathan--FengboRen,Y
SethuramanPanchanathan--AndreaWRicha,Y
SethuramanPanchanathan--GeorgeRunger,N
SethuramanPanchanathan--HessamSarjoughian,Y
SethuramanPanchanathan--MohamedSarwat,Y
SethuramanPanchanathan--ArunabhaSen,N
SethuramanPanchanathan--PauloShakarian,Y
SethuramanPanchanathan--AviralShrivastava,N
SethuramanPanchanathan--DanShunk,N
SethuramanPanchanathan--VioletSyrotiuk,N
SethuramanPanchanathan--HanghangTong,N
SethuramanPanchanathan--KurtVanLehn,Y
SethuramanPanchanathan--JReneVillalobos,N
SethuramanPanchanathan--SarmaVrudhula,N
SethuramanPanchanathan--ErinWalker,Y
SethuramanPanchanathan--CaroleJeanWu,Y
SethuramanPanchanathan--TeresaWu,Y
SethuramanPanchanathan--GuoliangXue,N
SethuramanPanchanathan--YezhouYang,N
SethuramanPanchanathan--NongYe,N
SethuramanPanchanathan--StephenSYau,N
PaoloPapotti--GiuliaPedrielli,Y
PaoloPapotti--FengboRen,N
PaoloPapotti--AndreaWRicha,Y
PaoloPapotti--GeorgeRunger,Y
PaoloPapotti--HessamSarjoughian,Y
PaoloPapotti--MohamedSarwat,Y
PaoloPapotti--ArunabhaSen,Y
PaoloPapotti--PauloShakarian,N
PaoloPapotti--AviralShrivastava,N
PaoloPapotti--DanShunk,Y
PaoloPapotti--VioletSyrotiuk,Y
PaoloPapotti--HanghangTong,Y
PaoloPapotti--KurtVanLehn,N
PaoloPapotti--JReneVillalobos,Y
PaoloPapotti--SarmaVrudhula,Y
PaoloPapotti--ErinWalker,N
PaoloPapotti--CaroleJeanWu,N
PaoloPapotti--TeresaWu,N
PaoloPapotti--GuoliangXue,N
PaoloPapotti--YezhouYang,N
PaoloPapotti--NongYe,N
PaoloPapotti--StephenSYau,N
GiuliaPedrielli--FengboRen,N
GiuliaPedrielli--AndreaWRicha,Y
GiuliaPedrielli--GeorgeRunger,N
GiuliaPedrielli--HessamSarjoughian,N
GiuliaPedrielli--MohamedSarwat,Y
GiuliaPedrielli--ArunabhaSen,N
GiuliaPedrielli--PauloShakarian,N
GiuliaPedrielli--AviralShrivastava,N
GiuliaPedrielli--DanShunk,Y
GiuliaPedrielli--VioletSyrotiuk,N
GiuliaPedrielli--HanghangTong,N
GiuliaPedrielli--KurtVanLehn,Y
GiuliaPedrielli--JReneVillalobos,Y
GiuliaPedrielli--SarmaVrudhula,Y
GiuliaPedrielli--ErinWalker,N
GiuliaPedrielli--CaroleJeanWu,N
GiuliaPedrielli--TeresaWu,N
GiuliaPedrielli--GuoliangXue,Y
GiuliaPedrielli--YezhouYang,N
GiuliaPedrielli--NongYe,Y
GiuliaPedrielli--StephenSYau,N
FengboRen--AndreaWRicha,N
FengboRen--GeorgeRunger,Y
FengboRen--HessamSarjoughian,Y
FengboRen--MohamedSarwat,N
FengboRen--ArunabhaSen,N
FengboRen--PauloShakarian,Y
FengboRen--AviralShrivastava,N
FengboRen--DanShunk,Y
FengboRen--VioletSyrotiuk,N
FengboRen--HanghangTong,Y
FengboRen--KurtVanLehn,N
FengboRen--JReneVillalobos,N
FengboRen--SarmaVrudhula,Y
FengboRen--ErinWalker,N
FengboRen--CaroleJeanWu,Y
FengboRen--TeresaWu,Y
FengboRen--GuoliangXue,N
FengboRen--YezhouYang,N
FengboRen--NongYe,Y
FengboRen--StephenSYau,N
AndreaWRicha--GeorgeRunger,N
AndreaWRicha--HessamSarjoughian,N
AndreaWRicha--MohamedSarwat,Y
AndreaWRicha--ArunabhaSen,Y
AndreaWRicha--PauloShakarian,N
AndreaWRicha--AviralShrivastava,N
AndreaWRicha--DanShunk,Y
AndreaWRicha--VioletSyrotiuk,Y
AndreaWRicha--HanghangTong,Y
AndreaWRicha--KurtVanLehn,N
AndreaWRicha--JReneVillalobos,N
AndreaWRicha--SarmaVrudhula,N
AndreaWRicha--ErinWalker,N
AndreaWRicha--CaroleJeanWu,N
AndreaWRicha--TeresaWu,Y
AndreaWRicha--GuoliangXue,Y
AndreaWRicha--YezhouYang,N
AndreaWRicha--NongYe,Y
AndreaWRicha--StephenSYau,N
GeorgeRunger--HessamSarjoughian,Y
GeorgeRunger--MohamedSarwat,Y
GeorgeRunger--ArunabhaSen,N
GeorgeRunger--PauloShakarian,Y
GeorgeRunger--AviralShrivastava,Y
GeorgeRunger--DanShunk,Y
GeorgeRunger--VioletSyrotiuk,N
GeorgeRunger--HanghangTong,Y
GeorgeRunger--KurtVanLehn,N
GeorgeRunger--JReneVillalobos,Y
GeorgeRunger--SarmaVrudhula,Y
GeorgeRunger--ErinWalker,N
GeorgeRunger--CaroleJeanWu,N
GeorgeRunger--TeresaWu,Y
GeorgeRunger--GuoliangXue,N
GeorgeRunger--YezhouYang,N
GeorgeRunger--NongYe,N
GeorgeRunger--StephenSYau,N
HessamSarjoughian--MohamedSarwat,N
HessamSarjoughian--ArunabhaSen,N
HessamSarjoughian--PauloShakarian,Y
HessamSarjoughian--AviralShrivastava,N
HessamSarjoughian--DanShunk,Y
HessamSarjoughian--VioletSyrotiuk,Y
HessamSarjoughian--HanghangTong,Y
HessamSarjoughian--KurtVanLehn,N
HessamSarjoughian--JReneVillalobos,N
HessamSarjoughian--SarmaVrudhula,Y
HessamSarjoughian--ErinWalker,N
HessamSarjoughian--CaroleJeanWu,N
HessamSarjoughian--TeresaWu,N
HessamSarjoughian--GuoliangXue,N
HessamSarjoughian--YezhouYang,N
HessamSarjoughian--NongYe,N
HessamSarjoughian--StephenSYau,N
MohamedSarwat--ArunabhaSen,Y
MohamedSarwat--PauloShakarian,N
MohamedSarwat--AviralShrivastava,Y
MohamedSarwat--DanShunk,N
MohamedSarwat--VioletSyrotiuk,Y
MohamedSarwat--HanghangTong,Y
MohamedSarwat--KurtVanLehn,Y
MohamedSarwat--JReneVillalobos,N
MohamedSarwat--SarmaVrudhula,N
MohamedSarwat--ErinWalker,N
MohamedSarwat--CaroleJeanWu,Y
MohamedSarwat--TeresaWu,Y
MohamedSarwat--GuoliangXue,N
MohamedSarwat--YezhouYang,Y
MohamedSarwat--NongYe,N
MohamedSarwat--StephenSYau,Y
ArunabhaSen--PauloShakarian,N
ArunabhaSen--AviralShrivastava,Y
ArunabhaSen--DanShunk,Y
ArunabhaSen--VioletSyrotiuk,Y
ArunabhaSen--HanghangTong,N
ArunabhaSen--KurtVanLehn,N
ArunabhaSen--JReneVillalobos,N
ArunabhaSen--SarmaVrudhula,Y
ArunabhaSen--ErinWalker,Y
ArunabhaSen--CaroleJeanWu,Y
ArunabhaSen--TeresaWu,N
ArunabhaSen--GuoliangXue,N
ArunabhaSen--YezhouYang,N
ArunabhaSen--NongYe,N
ArunabhaSen--StephenSYau,N
PauloShakarian--AviralShrivastava,N
PauloShakarian--DanShunk,Y
PauloShakarian--VioletSyrotiuk,Y
PauloShakarian--HanghangTong,N
PauloShakarian--KurtVanLehn,Y
PauloShakarian--JReneVillalobos,N
PauloShakarian--SarmaVrudhula,Y
PauloShakarian--ErinWalker,Y
PauloShakarian--CaroleJeanWu,Y
PauloShakarian--TeresaWu,N
PauloShakarian--GuoliangXue,N
PauloShakarian--YezhouYang,N
PauloShakarian--NongYe,N
PauloShakarian--StephenSYau,N
AviralShrivastava--DanShunk,Y
AviralShrivastava--VioletSyrotiuk,N
AviralShrivastava--HanghangTong,Y
AviralShrivastava--KurtVanLehn,Y
AviralShrivastava--JReneVillalobos,N
AviralShrivastava--SarmaVrudhula,N
AviralShrivastava--ErinWalker,N
AviralShrivastava--CaroleJeanWu,Y
AviralShrivastava--TeresaWu,Y
AviralShrivastava--GuoliangXue,N
AviralShrivastava--YezhouYang,N
AviralShrivastava--NongYe,N
AviralShrivastava--StephenSYau,N
DanShunk--VioletSyrotiuk,N
DanShunk--HanghangTong,N
DanShunk--KurtVanLehn,Y
DanShunk--JReneVillalobos,N
DanShunk--SarmaVrudhula,N
DanShunk--ErinWalker,Y
DanShunk--CaroleJeanWu,Y
DanShunk--TeresaWu,Y
DanShunk--GuoliangXue,N
DanShunk--YezhouYang,N
DanShunk--NongYe,N
DanShunk--StephenSYau,N
VioletSyrotiuk--HanghangTong,N
VioletSyrotiuk--KurtVanLehn,Y
VioletSyrotiuk--JReneVillalobos,Y
VioletSyrotiuk--SarmaVrudhula,N
VioletSyrotiuk--ErinWalker,Y
VioletSyrotiuk--CaroleJeanWu,Y
VioletSyrotiuk--TeresaWu,N
VioletSyrotiuk--GuoliangXue,N
VioletSyrotiuk--YezhouYang,N
VioletSyrotiuk--NongYe,N
VioletSyrotiuk--StephenSYau,N
HanghangTong--KurtVanLehn,Y
HanghangTong--JReneVillalobos,N
HanghangTong--SarmaVrudhula,Y
HanghangTong--ErinWalker,Y
HanghangTong--CaroleJeanWu,N
HanghangTong--TeresaWu,Y
HanghangTong--GuoliangXue,N
HanghangTong--YezhouYang,N
HanghangTong--NongYe,N
HanghangTong--StephenSYau,Y
KurtVanLehn--JReneVillalobos,Y
KurtVanLehn--SarmaVrudhula,Y
KurtVanLehn--ErinWalker,Y
KurtVanLehn--CaroleJeanWu,Y
KurtVanLehn--TeresaWu,Y
KurtVanLehn--GuoliangXue,N
KurtVanLehn--YezhouYang,N
KurtVanLehn--NongYe,N
KurtVanLehn--StephenSYau,Y
JReneVillalobos--SarmaVrudhula,N
JReneVillalobos--ErinWalker,N
JReneVillalobos--CaroleJeanWu,N
JReneVillalobos--TeresaWu,Y
JReneVillalobos--GuoliangXue,N
JReneVillalobos--YezhouYang,N
JReneVillalobos--NongYe,N
JReneVillalobos--StephenSYau,Y
SarmaVrudhula--ErinWalker,N
SarmaVrudhula--CaroleJeanWu,N
SarmaVrudhula--TeresaWu,N
SarmaVrudhula--GuoliangXue,N
SarmaVrudhula--YezhouYang,N
SarmaVrudhula--NongYe,N
SarmaVrudhula--StephenSYau,Y
ErinWalker--CaroleJeanWu,N
ErinWalker--TeresaWu,Y
ErinWalker--GuoliangXue,N
ErinWalker--YezhouYang,N
ErinWalker--NongYe,Y
ErinWalker--StephenSYau,Y
CaroleJeanWu--TeresaWu,N
CaroleJeanWu--GuoliangXue,N
CaroleJeanWu--YezhouYang,N
CaroleJeanWu--NongYe,N
CaroleJeanWu--StephenSYau,Y
TeresaWu--GuoliangXue,N
TeresaWu--YezhouYang,N
TeresaWu--NongYe,N
TeresaWu--StephenSYau,Y
GuoliangXue--YezhouYang,N
GuoliangXue--NongYe,N
GuoliangXue--StephenSYau,Y
YezhouYang--NongYe,N
YezhouYang--StephenSYau,Y
NongYe--StephenSYau,Y
