KevinGary,[(0, 1514.3310731094516), (1, -683.73589459673315), (2, 275.4887683644647), (3, 49.105902038547981), (4, 33.847592412793425), (5, 211.80817135856546), (6, 20.945326864163423), (7, -47.706086754778795), (8, 8.7758052036473604), (9, -95.728509298518517), (10, -116.38449341916716), (11, 3.6194855197832823), (12, -79.220401958794795), (13, -213.21248521760907), (14, -401.77702449345276)]
EsmaGel,[(0, 2122.8705689882991), (1, -223.2496812923813), (2, -121.48411162162206), (3, 112.64170848302368), (4, -295.15730444561973), (5, 225.32462506416431), (6, 143.00384022610402), (7, 53.250370878908271), (8, 218.02247766280314), (9, -232.64030131833107), (10, 260.20038162704242), (11, 44.562986167735424), (12, 218.189228442103), (13, -64.861783831153261), (14, 45.559181005259894)]
JavierGonzalezSanchez,[(0, 1026.5895230824999), (1, -380.24507528854662), (2, 73.399167386671422), (3, 103.59083905240698), (4, -50.423246232739665), (5, 241.15060613304266), (6, 66.395330075687198), (7, -325.66974136011015), (8, -6.370290807382335), (9, -50.071709361321844), (10, -212.50710153602856), (11, -47.435984123160715), (12, -93.337363474306756), (13, -106.05607549051417), (14, -778.65236631312916)]
SandeepGupta,[(0, 18224.919889361587), (1, 3719.2031316515136), (2, 3205.9059232002655), (3, 2734.8169892461119), (4, -2116.2249028064057), (5, -1291.0562246804404), (6, -3837.687814774642), (7, -3649.6679839485378), (8, -2043.4291734853041), (9, 2756.9470961266497), (10, -4089.3671901810471), (11, 2549.2487756858254), (12, 1109.0352038783913), (13, 1770.8950399890291), (14, -75.954176224820259)]
DianneHansford,[(0, 324.2330705066019), (1, -7.7626546828951701), (2, -58.698261888898188), (3, 71.444310431874484), (4, 54.164370550657516), (5, 15.636069623229623), (6, 102.42649205018952), (7, 3.2885707393211301), (8, 66.521438671391607), (9, 0.57999520635860446), (10, -3.1057771639773879), (11, -13.972795146914429), (12, 19.85853020577466), (13, -24.178390507006878), (14, 2.5652814395516499)]
JingruiHe,[(0, 5237.053988905931), (1, -508.63043099666061), (2, -1875.2771625372895), (3, 1475.9496437143398), (4, 2359.0001497015028), (5, 653.88302451264826), (6, 290.28315518679813), (7, 215.46826510743796), (8, -303.47036742638647), (9, -55.14198252520341), (10, 465.25250706306144), (11, 52.773532087952979), (12, -183.19143205716438), (13, 166.79891137293851), (14, 169.17649946712098)]
DijiangHuang,[(0, 10695.498669625515), (1, 909.63233485444675), (2, 3683.4811418065233), (3, -2839.4490294109073), (4, 1492.1288352056222), (5, -2027.107915179053), (6, -804.91956410951479), (7, -1526.9692881656069), (8, 711.55165303044657), (9, 600.63277580514375), (10, -1772.6092648389915), (11, 909.26000590508443), (12, -1101.6258977153143), (13, 2119.5150044583283), (14, 1600.3141688698252)]
SubbaraoKambhampati,[(0, 16114.431372367273), (1, -7432.2231480112641), (2, -11541.087381371013), (3, -5200.3317393815505), (4, -3972.9863677745557), (5, -790.54168432458027), (6, -5684.7640690540265), (7, -852.96678132262139), (8, 1714.2809982844667), (9, -1606.1350462877474), (10, 29.851233617724226), (11, -91.031466521905742), (12, -813.23959714188084), (13, 199.41092560761214), (14, 657.55669667798793)]
JoohyungLee,[(0, 5167.0213249064391), (1, -1357.6424154283679), (2, -1667.6657123981065), (3, -772.26230540012807), (4, -2326.8411862400544), (5, 127.53527886621339), (6, 5264.9621710814554), (7, 320.88901698256171), (8, -1756.988048137765), (9, 2345.0414614326683), (10, 452.32958114327744), (11, 4.1049312106120697), (12, 517.99199969303368), (13, 1794.6815682099898), (14, 1142.1663723232398)]
YannHangLee,[(0, 9016.1906079466407), (1, -696.07088364916626), (2, 1954.3421103118903), (3, 1346.2311173645944), (4, -2302.3950024741334), (5, -351.68858492012839), (6, -284.38142734013303), (7, 966.57546774735647), (8, 262.53434830990574), (9, 298.2193108648712), (10, -320.82449712289133), (11, -795.98028867690152), (12, -370.83073234095372), (13, -1992.8790058536649), (14, -553.21397148617848)]
BaoxinLi,[(0, 9985.87878544462), (1, -2268.3690929862628), (2, -2774.8233910492563), (3, 4611.4962286819227), (4, 4592.5395785680339), (5, 1918.0235589907747), (6, 1251.8394463340321), (7, -1603.7329702468401), (8, 3614.5400027125766), (9, 1398.7671388022502), (10, 60.234804815059697), (11, -469.83870584389933), (12, -1073.2550811926012), (13, -225.57368177213871), (14, 1913.0124478416374)]
TimLindquist,[(0, 1223.8192927201899), (1, -658.65399474878427), (2, 479.64565257559946), (3, -66.309271488834639), (4, -101.00156132356342), (5, 149.65225399809015), (6, 19.591165300762935), (7, 157.6934840461229), (8, 20.968256843819269), (9, 14.967322979501681), (10, -28.837399434319003), (11, -52.747143892192192), (12, -90.304431859327764), (13, -189.40655863129851), (14, -143.32588792940456)]
RossMaciejewski,[(0, 6906.5835410429836), (1, -1972.8938036174673), (2, -399.97952776081553), (3, 2295.0065564172246), (4, 2903.8955025882533), (5, -377.75760970520861), (6, -666.47551490332592), (7, -562.17612110462517), (8, -379.83226917141997), (9, 386.27851579843497), (10, -73.904921839348532), (11, -238.53054787904631), (12, 2427.3087671203666), (13, -226.67334842869107), (14, -1238.5612868590435)]
RyanMeuth,[(0, 678.56420883621354), (1, 3.2623405811454851), (2, -57.628946763905418), (3, 114.82774949156347), (4, -13.899785701264364), (5, 30.840946935092482), (6, -35.00945792528217), (7, 42.72850416551104), (8, 113.48615583508641), (9, 7.1848376162358143), (10, 65.162069489549054), (11, -42.683013571628969), (12, -32.526908630864384), (13, -2.7409320205117989), (14, -102.97903260605898)]
